,Region,Month,HCHO reading,Proximity(km)
336,Nuwara Eliya Proper,2022-01,7.959009024210589e-05,101.0
337,Nuwara Eliya Proper,2022-02,0.00011081434274784443,101.0
338,Nuwara Eliya Proper,2022-03,9.816130144423102e-05,101.0
339,Nuwara Eliya Proper,2022-04,9.033203568610811e-05,101.0
340,Nuwara Eliya Proper,2022-05,9.188681783173743e-05,101.0
341,Nuwara Eliya Proper,2022-06,6.57692932722358e-05,101.0
342,Nuwara Eliya Proper,2022-07,7.997636897088041e-05,101.0
343,Nuwara Eliya Proper,2022-08,7.508495493910341e-05,101.0
344,Nuwara Eliya Proper,2022-09,6.901022780148454e-05,101.0
345,Nuwara Eliya Proper,2022-10,9.865980387591603e-05,101.0
346,Nuwara Eliya Proper,2022-11,7.039685728558857e-05,101.0
347,Nuwara Eliya Proper,2022-12,5.412869501575724e-05,101.0
348,Nuwara Eliya Proper,2023-01,8.405978355935056e-05,101.0
349,Nuwara Eliya Proper,2023-02,0.00012039075472247865,101.0
350,Nuwara Eliya Proper,2023-03,8.454057999962161e-05,101.0
351,Nuwara Eliya Proper,2023-04,7.62713974694919e-05,101.0
352,Nuwara Eliya Proper,2023-05,8.40001025770176e-05,101.0
353,Nuwara Eliya Proper,2023-06,0.00010857628557798017,101.0
354,Nuwara Eliya Proper,2023-07,9.115051139742245e-05,101.0
355,Nuwara Eliya Proper,2023-08,6.563775664716901e-05,101.0
356,Nuwara Eliya Proper,2023-09,7.283722811055926e-05,101.0
357,Nuwara Eliya Proper,2023-10,0.00014052794609724663,101.0
358,Nuwara Eliya Proper,2023-11,5.832845137438285e-05,101.0
359,Nuwara Eliya Proper,2023-12,2.9463326126441796e-05,101.0
