"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-05-02","0.00",",,S","84","H,,S",,,"78",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-05-03","0.00",",,S","85","H,,S","90",",,S",,
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-05-05","0.00",",,S","85","H,,S",,,"78",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-05-06","0.00",",,S","85","H,,S","94",",,S","76",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-05-07","0.00",",,S","86","H,,S","92",",,S","76",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-05-08","0.00",",,S","86","H,,S","93",",,S","78",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-05-09","0.00",",,S","86","H,,S","92",",,S","77",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-05-10","0.00",",,S","89","H,,S","94",",,S","78",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-05-12","0.00",",,S","87","H,,S","95",",,S","78",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-05-13","0.00",",,S","88","H,,S",,,"78",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-05-15","0.00",",,S","87","H,,S",,,"79",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-05-16","0.00",",,S","87","H,,S",,,"79",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-05-17","0.00",",,S","90","H,,S","95",",,S","78",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-05-18","0.00",",,S","90","H,,S","95",",,S","79",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-05-19","0.00",",,S","88","H,,S","96",",,S","76",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-05-20","0.00",",,S","87","H,,S",,,"77",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-05-21","0.00",",,S","87","H,,S","96",",,S","77",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-05-23","0.00",",,S","87","H,,S","97",",,S","75",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-05-26","0.00",",,S","87","H,,S",,,"76",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-05-27","0.00",",,S","88","H,,S","97",",,S","78",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-05-28","0.00",",,S","89","H,,S","96",",,S","79",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-05-29","0.01",",,S","88","H,,S","96",",,S","80",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-05-30","0.00",",,S","87","H,,S",,,"79",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-06-02","0.00",",,S","87","H,,S",,,"79",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-06-03","0.00",",,S","85","H,,S","94",",,S","80",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-06-04","0.62",",,S","80","H,,S","89",",,S",,
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-06-05","1.53",",,S","86","H,,S","92",",,S","77",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-06-06","0.00",",,S","84","H,,S","91",",,S","78",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-06-07","0.04",",,S","84","H,,S","90",",,S","77",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-06-08","0.13",",,S","88","H,,S","92",",,S","76",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-06-09","0.00",",,S","83","H,,S",,,,
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-06-10","2.16",",,S","79","H,,S",,,"73",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-06-11","0.03",",,S","83","H,,S","89",",,S","74",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-06-12","0.39",",,S","82","H,,S","86",",,S","74",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-06-15","0.11",",,S","88","H,,S","92",",,S","76",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-06-16","0.00",",,S","83","H,,S","93",",,S","79",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-06-17","0.00",",,S","85","H,,S","90",",,S","79",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-06-23","0.00",",,S","85","H,,S","92",",,S","77",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-06-24","0.00",",,S","86","H,,S","91",",,S","79",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-06-27","0.00",",,S","85","H,,S","93",",,S","77",",,S"
