Region,Current Date,Next Date,HCHO reading,new_covid_patients,total_covid_patients,lockdown_status,covid_range_status,Month
Colombo Proper,2019-08-27,2019-08-28,8.80723737846646e-05,0,0,Before,Before,8
Colombo Proper,2019-08-28,2019-08-29,0.000189373458852,0,0,Before,Before,8
Colombo Proper,2019-08-29,2019-08-30,0.0003315822687,0,0,Before,Before,8
Colombo Proper,2019-08-30,2019-08-31,0.0001384361560621,0,0,Before,Before,8
Colombo Proper,2019-08-31,2019-09-01,4.148157993699298e-05,0,0,Before,Before,8
Colombo Proper,2019-09-01,2019-09-02,1.1819308958476046e-05,0,0,Before,Before,9
Colombo Proper,2019-09-02,2019-09-03,0.0001254869544792,0,0,Before,Before,9
Colombo Proper,2019-09-03,2019-09-04,2.2278653994414338e-05,0,0,Before,Before,9
Colombo Proper,2019-09-04,2019-09-05,6.601078846206005e-05,0,0,Before,Before,9
Colombo Proper,2019-09-05,2019-09-06,6.189868745003109e-05,0,0,Before,Before,9
Colombo Proper,2019-09-06,2019-09-07,6.96768756388925e-06,0,0,Before,Before,9
Colombo Proper,2019-09-07,2019-09-08,0.0001425282227641,0,0,Before,Before,9
Colombo Proper,2019-09-08,2019-09-09,0.0001051981676809,0,0,Before,Before,9
Colombo Proper,2019-09-09,2019-09-10,7.796198665621607e-05,0,0,Before,Before,9
Colombo Proper,2019-09-10,2019-09-11,0.0001706459092882,0,0,Before,Before,9
Colombo Proper,2019-09-11,2019-09-12,9.017306426648522e-05,0,0,Before,Before,9
Colombo Proper,2019-09-12,2019-09-13,9.42001102338894e-05,0,0,Before,Before,9
Colombo Proper,2019-09-13,2019-09-14,0.0001006603947906,0,0,Before,Before,9
Colombo Proper,2019-09-14,2019-09-15,-2.7079145498339e-05,0,0,Before,Before,9
Colombo Proper,2019-09-15,2019-09-16,-0.0001084998075384,0,0,Before,Before,9
Colombo Proper,2019-09-16,2019-09-17,2.8257235726919288e-05,0,0,Before,Before,9
Colombo Proper,2019-09-17,2019-09-18,7.293194215549228e-05,0,0,Before,Before,9
Colombo Proper,2019-09-18,2019-09-19,0.0001224324055217,0,0,Before,Before,9
Colombo Proper,2019-09-19,2019-09-20,1.494634866011334e-05,0,0,Before,Before,9
Colombo Proper,2019-09-20,2019-09-21,4.4304662755935576e-05,0,0,Before,Before,9
Colombo Proper,2019-09-21,2019-09-22,6.719672168285214e-05,0,0,Before,Before,9
Colombo Proper,2019-09-22,2019-09-23,3.9673184915516016e-05,0,0,Before,Before,9
Colombo Proper,2019-09-23,2019-09-24,7.671643302899502e-05,0,0,Before,Before,9
Colombo Proper,2019-09-24,2019-09-25,7.671643302899502e-05,0,0,Before,Before,9
Colombo Proper,2019-09-25,2019-09-26,7.797792998682927e-05,0,0,Before,Before,9
Colombo Proper,2019-09-26,2019-09-27,0.000358217745088,0,0,Before,Before,9
Colombo Proper,2019-09-27,2019-09-28,0.0001222516306589,0,0,Before,Before,9
Colombo Proper,2019-09-28,2019-09-29,0.0002095719037861,0,0,Before,Before,9
Colombo Proper,2019-09-29,2019-09-30,0.0001578932214216,0,0,Before,Before,9
Colombo Proper,2019-09-30,2019-10-01,0.0001080054580652,0,0,Before,Before,9
Colombo Proper,2019-10-01,2019-10-02,0.0001737579768947,0,0,Before,Before,10
Colombo Proper,2019-10-02,2019-10-03,8.218956230442276e-05,0,0,Before,Before,10
Colombo Proper,2019-10-03,2019-10-04,0.000304390194455,0,0,Before,Before,10
Colombo Proper,2019-10-04,2019-10-05,4.704659868522847e-05,0,0,Before,Before,10
Colombo Proper,2019-10-05,2019-10-06,0.0001757757371135,0,0,Before,Before,10
Colombo Proper,2019-10-06,2019-10-07,0.0001498655355628,0,0,Before,Before,10
Colombo Proper,2019-10-07,2019-10-08,3.090292903243917e-05,0,0,Before,Before,10
Colombo Proper,2019-10-08,2019-10-09,0.000141664818243,0,0,Before,Before,10
Colombo Proper,2019-10-09,2019-10-10,0.0001721947790897,0,0,Before,Before,10
Colombo Proper,2019-10-10,2019-10-11,0.000192906272276,0,0,Before,Before,10
Colombo Proper,2019-10-11,2019-10-12,0.0001267485224066,0,0,Before,Before,10
Colombo Proper,2019-10-12,2019-10-13,0.0001426889071509,0,0,Before,Before,10
Colombo Proper,2019-10-13,2019-10-14,0.0001498612726906,0,0,Before,Before,10
Colombo Proper,2019-10-14,2019-10-15,8.925810029372805e-05,0,0,Before,Before,10
Colombo Proper,2019-10-15,2019-10-16,0.00018203204122,0,0,Before,Before,10
Colombo Proper,2019-10-16,2019-10-17,0.0001768249399084,0,0,Before,Before,10
Colombo Proper,2019-10-17,2019-10-18,4.544709803342311e-05,0,0,Before,Before,10
Colombo Proper,2019-10-18,2019-10-19,0.0001029842285738,0,0,Before,Before,10
Colombo Proper,2019-10-19,2019-10-20,0.000166222072496,0,0,Before,Before,10
Colombo Proper,2019-10-20,2019-10-21,6.604724330827594e-05,0,0,Before,Before,10
Colombo Proper,2019-10-21,2019-10-22,0.0001184022462619,0,0,Before,Before,10
Colombo Proper,2019-10-22,2019-10-23,0.0001232596039233,0,0,Before,Before,10
Colombo Proper,2019-10-23,2019-10-24,0.0001471854356328,0,0,Before,Before,10
Colombo Proper,2019-10-24,2019-10-25,0.0001055772156088,0,0,Before,Before,10
Colombo Proper,2019-10-25,2019-10-26,0.0001206097450027,0,0,Before,Before,10
Colombo Proper,2019-10-26,2019-10-27,0.0001264849171456,0,0,Before,Before,10
Colombo Proper,2019-10-27,2019-10-28,0.0001066163394705,0,0,Before,Before,10
Colombo Proper,2019-10-28,2019-10-29,0.0001471854356328,0,0,Before,Before,10
Colombo Proper,2019-10-29,2019-10-30,0.0002105868261531,0,0,Before,Before,10
Colombo Proper,2019-10-30,2019-10-31,0.0001788861308929,0,0,Before,Before,10
Colombo Proper,2019-10-31,2019-11-01,0.0002105868261531,0,0,Before,Before,10
Colombo Proper,2019-11-01,2019-11-02,0.0001396458115619,0,0,Before,Before,11
Colombo Proper,2019-11-02,2019-11-03,0.0001020767205157,0,0,Before,Before,11
Colombo Proper,2019-11-03,2019-11-04,0.0001507697860769,0,0,Before,Before,11
Colombo Proper,2019-11-04,2019-11-05,0.0001659270451597,0,0,Before,Before,11
Colombo Proper,2019-11-05,2019-11-06,0.0002203240319704,0,0,Before,Before,11
Colombo Proper,2019-11-06,2019-11-07,0.0001085077493071,0,0,Before,Before,11
Colombo Proper,2019-11-07,2019-11-08,0.0001533303704185,0,0,Before,Before,11
Colombo Proper,2019-11-08,2019-11-09,2.449133360208192e-05,0,0,Before,Before,11
Colombo Proper,2019-11-09,2019-11-10,0.0001291095418289,0,0,Before,Before,11
Colombo Proper,2019-11-10,2019-11-11,9.954417328117417e-05,0,0,Before,Before,11
Colombo Proper,2019-11-11,2019-11-12,0.0002464783486751,0,0,Before,Before,11
Colombo Proper,2019-11-12,2019-11-13,0.0002286748077898,0,0,Before,Before,11
